"sex" "age" "educ" "country" "self" "vign1" "vign2" "vign3" "vign4" "vign5" "vign6"
"22280" 0 33 4 "Oceania" 1 2 2 5 3 4 5
"41309" 1 41 4 "Oceania" 1 4 1 4 5 4 5
"94353" 1 45 1 "Eastasia" 4 5 4 5 3 5 5
"5073" 1 18 2 "Oceania" 3 4 3 5 5 4 5
"144031" 1 46 3 "Eastasia" 2 3 1 5 5 5 5
"73536" 1 37 1 "Eastasia" 2 3 4 4 3 4 3
"59914" 0 23 2 "Oceania" 2 3 2 4 5 5 5
"28926" 0 56 3 "Oceania" 2 3 5 4 4 5 5
"144093" 1 38 2 "Eastasia" 1 3 4 4 3 3 4
"105226" 1 43 1 "Eastasia" 1 2 1 4 5 4 5
"167219" 0 31 4 "Eastasia" 2 3 2 3 4 3 5
"131798" 0 27 6 "Eastasia" 1 4 3 5 4 5 5
"117509" 1 22 5 "Eurasia" 2 4 4 5 4 5 4
"156283" 1 28 1 "Eastasia" 3 5 4 5 4 5 4
"11633" 1 37 6 "Eastasia" 3 5 1 4 5 4 5
"91661" 0 85 3 "Oceania" 1 4 4 5 5 5 4
"145442" 0 30 2 "Eastasia" 1 3 1 3 1 3 4
"150098" 0 53 5 "Eastasia" 1 3 3 4 4 5 5
"23265" 1 30 6 "Oceania" 1 2 2 3 4 4 5
"114806" 1 23 3 "Eastasia" 3 4 4 4 4 4 4
"165939" 0 23 2 "Eastasia" 1 3 2 5 4 3 5
"131757" 1 66 4 "Eastasia" 1 3 3 4 5 4 5
"93197" 1 25 6 "Eastasia" 3 4 3 5 5 5 5
"95019" 0 29 2 "Eastasia" 1 3 1 5 5 5 5
"148824" 1 19 5 "Eastasia" 2 4 3 5 5 4 5
"36884" 1 51 5 "Eastasia" 1 2 2 4 4 3 5
"134475" 0 23 6 "Eastasia" 1 3 1 5 5 5 5
"113962" 0 81 1 "Eastasia" 2 4 2 3 3 1 3
"143567" 0 21 4 "Eastasia" 1 4 2 4 3 4 4
"58726" 0 38 1 "Oceania" 1 2 1 4 5 5 5
"81777" 0 35 5 "Eastasia" 1 4 4 4 4 4 4
"140019" 0 55 1 "Eastasia" 2 3 2 3 4 4 5
"4546" 0 28 2 "Oceania" 2 5 5 5 5 5 5
"7778" 0 70 1 "Eastasia" 1 4 4 5 5 5 5
"149024" 0 62 4 "Eastasia" 3 5 2 5 5 4 5
"171184" 0 34 3 "Eastasia" 3 4 4 5 5 5 5
"57867" 0 46 1 "Oceania" 1 5 5 5 5 5 5
"104902" 1 21 2 "Eastasia" 1 2 1 4 5 5 5
"25567" 0 65 2 "Oceania" 1 2 1 2 4 5 5
"65568" 1 39 3 "Eastasia" 1 2 2 5 4 5 5
"56512" 0 17 2 "Oceania" 3 4 4 4 4 4 4
"30513" 0 49 5 "Oceania" 1 3 4 4 4 5 5
"73244" 0 31 1 "Eastasia" 1 2 1 5 5 4 5
"91576" 1 28 3 "Oceania" 2 4 3 4 3 3 3
"160738" 1 30 1 "Eastasia" 2 3 2 5 5 5 5
"17316" 1 63 6 "Eastasia" 1 4 1 4 5 4 5
"26281" 0 70 3 "Oceania" 3 5 3 5 5 5 5
"12365" 1 55 2 "Eastasia" 2 5 2 4 5 3 5
"110999" 1 83 1 "Eastasia" 2 3 4 5 4 3 5
"29052" 0 68 4 "Oceania" 2 3 3 4 4 5 5
"97011" 1 60 1 "Eastasia" 2 3 2 4 4 3 4
"63563" 0 20 1 "Eastasia" 2 3 4 4 2 3 3
"151600" 0 54 4 "Eastasia" 2 4 4 4 5 4 4
"4354" 0 39 2 "Oceania" 2 5 5 5 2 2 3
"15712" 1 57 1 "Eastasia" 1 3 1 5 5 4 5
"73575" 1 26 4 "Eastasia" 4 5 2 5 5 4 5
"113971" 0 50 1 "Eastasia" 2 4 2 4 3 3 3
"98138" 0 41 1 "Eastasia" 1 3 2 5 5 5 5
"56290" 1 30 2 "Oceania" 2 4 4 4 5 4 5
"52152" 0 73 5 "Eastasia" 1 2 1 5 3 4 5
"529" 1 85 1 "Oceania" 2 3 3 5 5 5 4
"81169" 0 64 1 "Eastasia" 1 2 1 3 4 4 5
"96825" 1 18 2 "Eastasia" 2 3 3 5 3 5 5
"28610" 0 28 5 "Oceania" 1 4 3 4 4 4 5
"2126" 1 65 2 "Oceania" 1 3 1 4 5 3 5
"42161" 0 59 4 "Oceania" 1 5 2 5 5 3 5
"74317" 0 26 3 "Oceania" 1 2 1 4 5 3 5
"105005" 0 27 2 "Eastasia" 1 2 1 4 4 4 5
"23108" 0 57 3 "Oceania" 2 3 1 3 4 4 5
"46792" 1 67 4 "Eastasia" 4 5 5 5 5 5 5
"23235" 1 48 6 "Oceania" 2 3 1 4 4 3 5
"661" 1 26 3 "Oceania" 2 5 3 4 5 5 5
"41371" 1 41 5 "Oceania" 1 2 1 4 4 3 5
"3157" 1 40 1 "Oceania" 2 3 4 4 4 4 4
"60279" 0 54 1 "Oceania" 1 5 4 5 5 4 5
"20096" 1 41 6 "Eastasia" 1 3 2 5 4 4 5
"110851" 1 37 6 "Eurasia" 2 5 1 5 5 5 5
"5743" 1 26 4 "Oceania" 2 5 2 5 5 4 5
"18238" 1 20 4 "Eastasia" 1 2 1 5 3 3 5
"69381" 0 21 1 "Eastasia" 3 4 4 5 5 5 5
"90071" 0 24 4 "Oceania" 2 3 2 4 5 4 5
"22764" 0 51 4 "Oceania" 1 3 1 3 4 4 5
"105289" 0 24 3 "Eastasia" 2 3 1 5 5 5 5
"91659" 0 58 4 "Oceania" 1 3 3 5 5 5 5
"155569" 1 35 1 "Eastasia" 2 4 4 5 5 2 5
"78568" 1 24 1 "Oceania" 2 4 2 5 5 4 4
"93093" 1 40 3 "Eastasia" 1 3 3 5 5 5 5
"24929" 1 24 5 "Oceania" 1 3 3 3 3 3 3
"47323" 1 37 6 "Eastasia" 3 4 3 5 5 5 5
"17141" 0 54 2 "Eastasia" 1 4 4 4 4 4 4
"122027" 0 43 3 "Eastasia" 1 2 1 4 5 5 5
"30872" 0 20 5 "Oceania" 2 3 3 4 5 4 5
"24840" 1 68 4 "Oceania" 2 4 3 5 5 5 5
"92556" 0 30 5 "Oceania" 1 2 1 4 5 4 5
"44575" 0 31 6 "Oceania" 1 2 3 4 4 4 5
"106463" 1 23 2 "Eastasia" 1 5 2 2 5 5 5
"49411" 1 50 5 "Eastasia" 1 4 3 4 5 4 5
"38858" 0 22 5 "Eastasia" 4 5 5 5 5 5 5
"45976" 0 40 4 "Eastasia" 1 4 2 3 5 5 5
"164535" 0 31 3 "Eastasia" 3 4 4 4 4 4 4
"91068" 0 46 5 "Oceania" 2 3 2 4 5 5 5
"43314" 1 25 4 "Oceania" 1 2 1 5 5 3 5
"115109" 0 77 1 "Eastasia" 3 5 1 4 5 4 5
"158751" 1 19 4 "Eastasia" 1 3 1 5 4 3 5
"113759" 0 29 4 "Eastasia" 2 4 5 5 5 5 5
"95604" 1 55 1 "Eastasia" 2 3 4 3 5 4 5
"74935" 0 50 3 "Oceania" 2 4 1 4 2 2 5
"394" 0 28 3 "Oceania" 1 5 2 5 5 5 5
"1754" 0 18 3 "Oceania" 2 5 5 5 5 5 5
"21456" 1 29 3 "Eastasia" 3 4 4 4 5 4 5
"5603" 0 28 4 "Oceania" 1 4 3 4 3 4 4
"4466" 0 30 2 "Oceania" 2 4 2 4 3 3 5
"15795" 1 18 3 "Eastasia" 1 3 2 4 5 4 4
"150808" 0 40 4 "Eastasia" 1 2 5 3 3 4 4
"60158" 0 53 NA "Oceania" 2 4 2 5 5 5 4
"53982" 1 69 5 "Eastasia" 2 3 1 4 4 4 5
"43951" 0 62 5 "Oceania" 1 3 2 5 4 5 5
"13337" 0 22 4 "Eastasia" 1 3 3 4 3 3 4
"41717" 0 20 4 "Oceania" 3 4 3 5 4 5 5
"7799" 1 42 5 "Eastasia" 2 4 3 5 4 3 4
"26920" 0 60 6 "Oceania" 3 4 4 4 4 4 5
"49754" 1 25 6 "Eastasia" 1 2 2 2 3 1 2
"20631" 1 62 2 "Eastasia" 2 3 3 3 5 3 4
"2893" 0 56 2 "Oceania" 2 4 4 4 4 4 4
"101773" 1 45 4 "Eastasia" 1 2 2 4 4 4 5
"60001" 1 50 1 "Oceania" 2 3 1 5 5 5 5
"27584" 0 56 7 "Oceania" 2 4 3 5 5 5 5
"139063" 0 69 6 "Eastasia" 2 5 4 5 5 2 4
"77225" 0 26 4 "Oceania" 2 3 2 5 5 4 5
"149587" 0 38 3 "Eastasia" 4 5 3 5 5 5 5
"57069" 0 38 1 "Oceania" 2 4 4 4 4 4 4
"17224" 1 30 3 "Eastasia" 1 4 2 3 4 4 4
"155616" 1 30 1 "Eastasia" 3 4 5 5 5 4 4
"118023" 0 20 4 "Eurasia" 1 4 4 4 4 4 4
"71819" 0 21 1 "Eastasia" 4 5 3 5 5 5 5
"29361" 1 74 3 "Oceania" 1 5 5 5 5 5 5
"3651" 0 29 2 "Oceania" 1 5 1 2 3 1 5
"97259" 1 22 5 "Eastasia" 2 4 3 3 4 5 5
"158346" 0 23 4 "Eastasia" 3 5 2 5 5 4 5
"59559" 0 55 6 "Oceania" 3 5 5 5 5 5 5
"83760" 1 62 1 "Eastasia" 1 2 1 4 5 4 5
"1545" 0 52 1 "Oceania" 2 4 2 5 4 3 3
"123036" 1 27 6 "Eastasia" 3 4 5 5 5 5 5
"93915" 1 35 1 "Eastasia" 2 5 4 5 5 4 4
"20012" 0 28 3 "Eastasia" 1 3 1 3 5 3 5
"108399" 0 24 6 "Eurasia" 2 4 5 4 4 5 4
"27707" 1 81 3 "Oceania" 4 5 5 5 5 5 5
"74932" 1 81 1 "Oceania" 2 3 3 4 4 2 5
"144049" 1 22 5 "Eastasia" 1 5 2 4 5 3 5
"62777" 0 30 1 "Eastasia" 2 4 2 3 5 5 5
"68040" 1 34 5 "Eastasia" 2 3 4 4 4 3 5
"158749" 1 36 1 "Eastasia" 1 3 4 4 4 3 3
"124549" 0 41 2 "Eastasia" 3 4 4 4 5 5 5
"166386" 0 34 4 "Eastasia" 1 4 2 4 5 2 5
"42156" 1 69 2 "Oceania" 3 4 4 4 5 4 5
"155278" 1 49 1 "Eastasia" 1 4 3 5 4 5 3
"8127" 1 30 2 "Eastasia" 2 5 2 5 5 5 5
"111919" 0 19 2 "Eastasia" 2 4 4 3 3 3 3
"8524" 1 32 1 "Eastasia" 4 5 4 5 5 5 5
"60515" 1 37 1 "Oceania" 3 4 2 5 3 4 4
"28669" 0 62 5 "Oceania" 1 5 4 4 5 4 5
"101564" 1 47 3 "Eastasia" 1 2 1 4 5 4 5
"82332" 1 35 1 "Eastasia" 2 4 3 3 4 4 5
"25230" 1 84 4 "Oceania" 1 4 4 4 4 4 4
"1455" 0 39 1 "Oceania" 3 5 5 5 5 5 5
"151012" 1 66 4 "Eastasia" 1 2 3 4 4 5 5
"160507" 1 75 1 "Eastasia" 2 3 2 4 5 4 5
"143018" 1 27 3 "Eastasia" 3 4 3 4 3 3 5
"165735" 1 48 1 "Eastasia" 4 5 4 5 4 5 5
"162396" 0 67 6 "Eastasia" 2 3 4 3 5 4 5
"80804" 1 20 2 "Eastasia" 3 4 4 5 4 5 4
"171575" 1 22 4 "Eastasia" 2 4 4 3 4 3 3
"14491" 1 53 4 "Eastasia" 1 2 2 5 5 5 5
"163151" 0 53 3 "Eastasia" 2 4 3 3 5 5 4
"27870" 1 59 3 "Oceania" 1 3 3 4 5 3 5
"2180" 0 38 1 "Oceania" 2 3 1 5 5 5 5
"63790" 1 25 NA "Eastasia" 2 3 4 4 2 4 3
"133754" 1 44 5 "Eastasia" 1 2 4 3 3 5 5
"106816" 0 18 2 "Eastasia" 1 2 1 5 5 4 5
"3908" 1 35 2 "Oceania" 3 5 3 5 5 5 5
"21996" 1 60 3 "Oceania" 1 2 1 4 4 4 5
"108101" 1 22 3 "Eastasia" 1 2 1 3 4 3 5
"18080" 0 61 2 "Eastasia" 2 3 2 3 4 4 4
"93033" 0 52 6 "Eastasia" 1 3 2 5 5 5 5
"26503" 1 22 5 "Oceania" 2 3 3 4 5 5 5
"31086" 0 60 7 "Oceania" 2 4 5 3 5 4 5
"151308" 1 37 4 "Eastasia" 1 3 3 4 4 4 5
"27273" 0 71 3 "Oceania" 1 5 5 5 5 5 5
"57517" 0 63 1 "Oceania" 2 4 2 5 5 5 5
"63090" 1 49 3 "Eastasia" 1 2 2 5 5 5 5
"42955" 0 82 4 "Oceania" 1 2 1 5 4 4 5
"150592" 0 47 5 "Eastasia" 2 3 2 4 4 4 5
"155861" 1 45 1 "Eastasia" 2 4 1 5 3 4 5
"21948" 0 77 5 "Oceania" 1 2 2 5 5 4 5
"169896" 1 39 4 "Eastasia" 1 2 3 4 4 3 2
"158617" 1 34 1 "Eastasia" 1 4 2 5 4 4 5
"5992" 0 35 2 "Oceania" 2 5 3 5 5 4 5
"25441" 0 42 7 "Oceania" 2 4 4 4 4 4 5
"27977" 0 82 3 "Oceania" 1 4 4 4 4 4 5
"157847" 0 18 4 "Eastasia" 1 3 3 5 5 4 5
"27491" 1 75 3 "Oceania" 1 4 3 3 4 5 5
"95985" 0 60 5 "Eastasia" 2 5 3 3 5 3 4
"901" 0 25 2 "Oceania" 4 5 5 5 5 5 5
"19650" 1 18 3 "Eastasia" 1 3 2 3 3 3 3
"83762" 1 25 1 "Eastasia" 2 3 5 4 4 3 5
"76787" 0 32 3 "Oceania" 1 2 2 4 5 4 5
"90033" 0 65 2 "Oceania" 1 3 2 4 5 5 5
"52125" 1 52 5 "Eastasia" 4 5 5 5 5 5 5
"47332" 1 41 6 "Eastasia" 2 3 1 5 5 4 5
"57760" 1 31 1 "Oceania" 2 3 4 4 4 3 4
"91386" 0 18 4 "Oceania" 3 4 4 5 5 5 5
"108539" 1 46 2 "Eurasia" 1 5 5 5 5 5 5
"25460" 0 50 4 "Oceania" 3 5 3 5 5 4 5
"157491" 1 45 1 "Eastasia" 2 5 2 5 5 3 5
"25982" 1 71 2 "Oceania" 2 4 4 4 4 4 4
"83810" 1 26 1 "Eastasia" 1 5 2 4 5 4 4
"27524" 0 71 3 "Oceania" 4 5 5 5 5 5 5
"164047" 1 40 3 "Eastasia" 3 4 4 4 5 4 5
"30459" 0 47 5 "Oceania" 2 3 2 5 5 5 5
"86728" 1 41 3 "Eastasia" 3 4 4 4 4 4 4
"21640" 0 71 5 "Eastasia" 2 3 5 4 4 5 5
"126405" 1 20 4 "Eastasia" 1 4 3 5 5 4 5
"67637" 0 46 2 "Eastasia" 1 3 2 4 4 4 4
"88261" 0 46 5 "Oceania" 2 3 3 4 5 5 5
"41496" 0 54 4 "Oceania" 1 5 2 3 4 4 5
"154152" 1 28 4 "Eastasia" 2 3 3 5 4 3 4
"18520" 1 32 4 "Eastasia" 1 4 2 5 5 3 5
"29648" 0 55 4 "Oceania" 3 4 3 5 5 5 5
"129336" 0 52 3 "Eastasia" 2 3 3 4 3 3 4
"158783" 0 20 3 "Eastasia" 1 2 1 4 4 4 5
"65744" 0 39 2 "Eastasia" 1 2 2 2 4 5 5
"30169" 1 36 7 "Oceania" 1 3 3 4 5 5 5
"108418" 0 27 6 "Eurasia" 2 4 2 4 4 3 3
"149497" 0 21 4 "Eastasia" 2 3 3 5 5 5 5
"69483" 0 20 1 "Eastasia" 1 2 2 4 5 5 5
"30295" 1 68 3 "Oceania" 1 3 2 4 5 5 5
"97472" 0 25 7 "Eastasia" 1 2 1 5 5 5 5
"158486" 1 65 1 "Eastasia" 2 3 3 4 5 4 5
"123284" 0 49 6 "Eastasia" 1 2 3 5 5 5 5
"106690" 1 68 2 "Eastasia" 1 3 1 5 5 5 5
"115155" 0 26 3 "Eastasia" 2 4 1 4 4 4 5
"158577" 0 44 1 "Eastasia" 1 3 3 5 5 3 5
"74586" 1 34 3 "Oceania" 2 4 2 5 5 4 3
"78995" 1 28 1 "Oceania" 1 5 5 5 5 5 5
"153401" 0 35 3 "Eastasia" 1 2 2 5 5 5 5
"55829" 1 44 6 "Eastasia" 1 2 1 3 4 4 5
"73953" 1 50 3 "Oceania" 1 2 1 4 4 3 5
"112832" 0 47 2 "Eastasia" 2 4 4 4 4 4 4
"113529" 1 20 2 "Eastasia" 1 2 1 2 1 1 2
"18659" 1 18 3 "Eastasia" 2 3 1 3 4 3 4
"125159" 0 18 3 "Eastasia" 1 3 1 5 5 4 5
"160655" 1 43 1 "Eastasia" 3 4 5 5 4 5 4
"2907" 1 20 4 "Oceania" 2 3 1 5 5 3 5
"4526" 1 61 3 "Oceania" 1 4 2 4 3 3 4
"31052" 0 22 5 "Oceania" 1 4 3 4 5 4 5
"76803" 1 71 1 "Oceania" 2 4 4 4 5 4 5
"106870" 1 23 1 "Eastasia" 2 3 5 3 5 5 5
"23208" 0 18 4 "Oceania" 2 3 1 3 3 3 3
"103548" 1 43 1 "Eastasia" 3 4 4 4 3 4 4
"27861" 1 44 4 "Oceania" 2 4 4 4 4 4 4
"96193" 0 18 4 "Eastasia" 2 3 5 5 3 4 5
"79747" 0 21 4 "Eastasia" 1 4 1 4 4 4 4
"22642" 0 20 3 "Oceania" 1 3 3 3 4 3 5
"22724" 0 55 5 "Oceania" 1 3 2 4 5 3 5
"119800" 0 60 2 "Eurasia" 2 4 3 3 5 5 4
"120851" 1 36 3 "Eastasia" 3 4 3 4 5 4 5
"50886" 1 64 6 "Eastasia" 1 4 1 5 1 4 5
"25662" 0 40 5 "Oceania" 1 3 3 4 5 5 5
"58261" 1 47 1 "Oceania" 4 5 5 5 5 5 5
"87" 1 28 2 "Oceania" 1 4 3 4 4 3 3
"69468" 1 55 1 "Eastasia" 1 2 1 5 5 5 5
"60488" 1 63 1 "Oceania" 4 5 4 5 5 5 5
"112016" 1 28 4 "Eastasia" 2 4 3 3 3 4 4
"82995" 1 22 1 "Eastasia" 2 3 4 3 5 3 4
"5526" 1 45 2 "Oceania" 2 4 5 5 5 5 4
"146014" 1 32 1 "Eastasia" 1 4 4 5 5 5 5
"49013" 0 76 6 "Eastasia" 1 3 4 3 4 5 5
"27067" 0 67 2 "Oceania" 3 5 4 5 5 5 5
"43472" 1 78 5 "Oceania" 1 3 3 5 5 4 5
"167876" 0 28 1 "Eastasia" 1 5 5 3 5 5 4
"134252" 1 51 5 "Eastasia" 1 3 2 5 5 4 5
"103410" 0 89 2 "Eastasia" 3 4 4 5 4 5 4
"11381" 1 20 3 "Eastasia" 1 3 3 2 4 4 4
"27913" 1 62 3 "Oceania" 2 4 4 4 5 4 4
"9403" 1 19 NA "Eastasia" 2 5 2 5 5 5 5
"25681" 1 48 3 "Oceania" 2 5 3 5 4 5 5
"163515" 0 43 6 "Eastasia" 1 3 1 3 5 3 5
"82165" 0 38 1 "Eastasia" 1 2 3 2 3 3 2
"79087" 0 27 2 "Oceania" 1 2 2 4 4 2 2
"2482" 1 30 4 "Oceania" 1 4 5 4 5 5 5
"136484" 0 75 4 "Eastasia" 2 3 4 3 4 4 4
"11875" 0 24 3 "Eastasia" 1 4 2 4 5 4 4
"114767" 1 47 2 "Eastasia" 1 4 3 4 4 4 3
"83983" 1 25 1 "Eastasia" 1 4 1 5 5 4 5
"26826" 1 77 2 "Oceania" 2 4 4 4 4 4 4
"28584" 0 73 2 "Oceania" 4 5 5 5 5 5 5
"49495" 1 59 5 "Eastasia" 1 3 2 4 4 4 5
"170053" 1 46 3 "Eastasia" 1 5 3 4 4 5 5
"151637" 1 18 4 "Eastasia" 3 5 3 5 5 5 4
"158299" 0 62 3 "Eastasia" 1 5 2 5 5 5 4
"76749" 1 31 3 "Oceania" 1 2 2 3 5 4 5
"129866" 0 79 1 "Eastasia" 4 5 5 5 5 5 5
"94822" 1 56 2 "Eastasia" 1 5 5 5 5 5 5
"157730" 1 41 1 "Eastasia" 2 4 2 5 5 5 5
"109296" 1 27 2 "Eurasia" 2 4 3 5 5 5 5
"10054" 0 66 2 "Eastasia" 1 4 4 5 5 5 5
"86880" 0 69 5 "Eastasia" 1 5 4 4 4 1 5
"42602" 1 61 3 "Oceania" 1 2 2 4 4 4 5
"12963" 1 33 3 "Eastasia" 1 2 2 4 5 3 5
"20143" 1 68 4 "Eastasia" 2 3 3 3 3 5 3
"115111" 0 20 3 "Eastasia" 1 5 4 4 4 3 5
"25294" 1 64 2 "Oceania" 3 4 4 4 5 4 4
"25219" 1 57 3 "Oceania" 3 5 3 5 5 5 5
"26072" 1 70 2 "Oceania" 1 5 5 5 5 5 5
"30418" 1 53 3 "Oceania" 3 5 5 5 5 5 5
"108736" 0 43 2 "Eurasia" 2 5 5 5 5 5 5
"125002" 0 65 1 "Eastasia" 2 3 2 3 4 2 3
"63837" 1 33 4 "Eastasia" 1 3 2 4 5 1 5
"121332" 0 63 1 "Eastasia" 1 2 2 5 4 3 5
"123162" 0 53 3 "Eastasia" 1 2 1 3 5 4 5
"116362" 1 28 1 "Eurasia" 3 4 4 5 4 4 4
"37650" 0 22 3 "Eastasia" 2 3 3 4 5 4 5
"19616" 1 22 6 "Eastasia" 1 3 1 3 4 4 4
"2792" 1 37 2 "Oceania" 3 5 1 4 3 3 5
"158908" 1 20 2 "Eastasia" 4 5 2 5 4 4 5
"134558" 0 63 5 "Eastasia" 3 4 1 5 5 5 5
"49097" 0 19 6 "Eastasia" 1 2 1 4 3 3 5
"4005" 1 63 1 "Oceania" 3 5 3 5 4 3 5
"99502" 1 25 3 "Eastasia" 2 3 1 5 5 4 5
"47429" 1 71 4 "Eastasia" 1 3 1 4 5 2 5
"46264" 0 50 5 "Eastasia" 1 2 3 3 4 2 4
"26580" 1 65 1 "Oceania" 3 5 5 5 5 5 5
"152069" 1 35 5 "Eastasia" 2 4 4 4 4 4 4
"159670" 0 34 5 "Eastasia" 1 4 4 5 5 5 5
"28038" 0 39 4 "Oceania" 2 3 3 4 4 4 4
"68059" 0 58 1 "Eastasia" 2 3 2 5 4 3 5
"119468" 0 27 4 "Eurasia" 1 3 3 3 4 5 5
"133825" 1 36 6 "Eastasia" 1 2 2 3 5 5 5
"28324" 1 27 4 "Oceania" 2 4 4 4 3 4 4
"129691" 0 67 1 "Eastasia" 1 2 3 4 4 4 5
"43574" 0 74 3 "Oceania" 1 2 2 2 5 3 5
"60125" 0 41 NA "Oceania" 1 5 2 4 5 5 5
"157865" 1 60 1 "Eastasia" 2 4 3 5 5 3 5
"68598" 0 38 4 "Eastasia" 2 3 5 3 4 5 4
"43980" 1 48 5 "Oceania" 2 3 3 4 5 5 5
"23835" 0 38 3 "Oceania" 2 3 2 4 5 3 5
"41439" 1 66 3 "Oceania" 1 4 2 5 4 4 5
"97032" 0 19 6 "Eastasia" 3 4 3 5 3 4 5
"161199" 1 32 2 "Eastasia" 3 5 3 5 5 5 5
"40425" 0 50 4 "Eastasia" 1 2 2 4 5 5 5
"115579" 0 35 1 "Eastasia" 1 2 5 3 5 3 5
"98038" 0 81 1 "Eastasia" 1 4 5 5 5 5 5
"5517" 1 77 2 "Oceania" 3 4 4 4 5 4 4
"8525" 1 23 1 "Eastasia" 4 5 5 5 5 5 5
"30266" 0 19 4 "Oceania" 1 3 4 5 5 5 5
"148210" 1 65 3 "Eastasia" 3 4 4 4 5 5 5
"87653" 0 45 3 "Eastasia" 3 4 4 4 4 4 4
"31047" 0 59 7 "Oceania" 1 3 2 3 4 4 4
"4949" 1 26 4 "Oceania" 2 5 5 5 4 4 4
"68011" 0 24 1 "Eastasia" 2 3 4 4 4 4 3
"65717" 0 31 6 "Eastasia" 1 2 2 5 4 4 5
"115191" 0 34 3 "Eastasia" 1 5 3 4 4 3 5
"27797" 1 22 5 "Oceania" 1 3 2 5 4 4 5
